Accession_ID	Collection_date	Submission_date	Location	Clade	Pangolin	City
EPI_ISL_8525704	2020-05-14	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_8525727	2020-05-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525728	2020-05-31	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525729	2020-06-01	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525730	2020-06-02	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525731	2020-06-05	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525732	2020-06-05	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525733	2020-06-05	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525734	2020-06-06	2022-01-10	Africa / Senegal / Dakar	20G	B.1.2	 Dakar
EPI_ISL_8525736	2020-06-06	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525737	2020-06-06	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525738	2020-06-07	2022-01-10	Africa / Senegal / Dakar	20G	B.1.2	 Dakar
EPI_ISL_8525740	2020-06-07	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525741	2020-06-07	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525742	2020-06-08	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525744	2020-06-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525746	2020-06-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525750	2020-06-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525751	2020-06-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525753	2020-06-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525754	2020-06-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525755	2020-06-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525756	2020-06-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525758	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525759	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525760	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525761	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525762	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525763	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525764	2020-06-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525765	2020-06-14	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525766	2020-06-14	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525768	2020-06-15	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525769	2020-06-15	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525770	2020-06-15	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525771	2020-06-15	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525773	2020-06-17	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525774	2020-06-17	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525775	2020-06-17	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525776	2020-06-17	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525777	2020-06-17	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525778	2020-06-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525780	2020-06-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525781	2020-06-18	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525782	2020-06-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525783	2020-06-17	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525784	2020-06-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525785	2020-06-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525786	2020-06-19	2022-01-10	Africa / Senegal / Dakar	20E (EU1)	B.1.177	 Dakar
EPI_ISL_8525787	2020-06-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525788	2020-06-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525789	2020-06-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525790	2020-06-20	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525791	2020-06-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525793	2020-06-20	2022-01-10	Africa / Senegal / Dakar	20E (EU1)	B.1.177	 Dakar
EPI_ISL_8525795	2020-06-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525798	2020-06-21	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525800	2020-06-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525801	2020-06-23	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525802	2020-06-23	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525803	2020-06-23	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525804	2020-06-23	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525805	2020-06-23	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525807	2020-06-26	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525808	2020-06-26	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525810	2020-06-26	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525812	2020-06-26	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525813	2020-06-26	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525821	2020-07-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525822	2020-07-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525882	2020-10-02	2022-01-10	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_8525898	2020-10-01	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525899	2020-10-29	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525900	2020-10-29	2022-01-10	Africa / Senegal / Dakar	20E (EU1)	B.1.177	 Dakar
EPI_ISL_8525903	2020-11-01	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525904	2020-11-03	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525907	2020-11-06	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525908	2020-11-06	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525909	2020-11-11	2022-01-10	Africa / Senegal / Dakar	20D	B.1.1.1	 Dakar
EPI_ISL_8525910	2020-11-11	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525911	2020-11-13	2022-01-10	Africa / Senegal / Dakar	19B	A.18	 Dakar
EPI_ISL_8525912	2020-11-13	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525914	2020-11-17	2022-01-10	Africa / Senegal / Dakar	20E (EU1)	B.1.177	 Dakar
EPI_ISL_8525915	2020-11-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525916	2020-11-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525917	2020-11-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1.160	 Dakar
EPI_ISL_8525918	2020-11-22	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525919	2020-11-24	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525921	2020-11-25	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525922	2020-11-25	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525926	2020-11-27	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525931	2020-12-01	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525932	2020-12-01	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525933	2020-12-01	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525934	2020-12-02	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525936	2020-12-03	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525937	2020-12-04	2022-01-10	Africa / Senegal / Dakar	19B	A.21	 Dakar
EPI_ISL_8525938	2020-12-04	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525939	2020-12-04	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525940	2020-12-05	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525941	2020-12-05	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525942	2020-12-06	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525943	2020-12-06	2022-01-10	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_8525944	2020-12-08	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525945	2020-12-08	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525946	2020-12-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525950	2020-12-10	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525951	2020-12-10	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525952	2020-12-11	2022-01-10	Africa / Senegal / Dakar	19B	A.21	 Dakar
EPI_ISL_8525953	2020-12-11	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525954	2020-12-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525955	2020-12-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525958	2020-12-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.160	 Dakar
EPI_ISL_8525959	2020-12-12	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525960	2020-12-13	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525961	2020-12-13	2022-01-10	Africa / Senegal / Dakar	19B	A.27	 Dakar
EPI_ISL_8525962	2020-12-13	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525963	2020-12-14	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525964	2020-12-14	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525965	2020-12-15	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525966	2020-12-15	2022-01-10	Africa / Senegal / Dakar	20A	B.1.160	 Dakar
EPI_ISL_8525967	2020-12-14	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525969	2020-12-16	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525971	2020-12-16	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525972	2020-11-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525973	2020-12-17	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525974	2020-12-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525975	2020-12-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525976	2020-12-18	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525977	2020-12-18	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525978	2020-12-19	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525979	2020-12-20	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.487	 Dakar
EPI_ISL_8525980	2020-12-20	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525981	2020-12-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525982	2020-12-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525983	2020-12-19	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525984	2020-12-19	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525986	2020-12-19	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525990	2020-12-20	2022-01-10	Africa / Senegal / Dakar	19B	A.21	 Dakar
EPI_ISL_8525991	2020-12-20	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525992	2020-12-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525994	2020-12-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525995	2020-12-20	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525996	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525997	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525998	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8525999	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526002	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20G	B.1.2	 Dakar
EPI_ISL_8526004	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526006	2020-12-22	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526010	2020-12-22	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526011	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8526012	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526014	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526015	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526016	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1.596	 Dakar
EPI_ISL_8526019	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526021	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526023	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526024	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8526025	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8526027	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526028	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8526029	2020-12-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8526031	2020-12-22	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526032	2020-12-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8526033	2020-12-23	2022-01-10	Africa / Senegal / Dakar	20A	B.1.36	 Dakar
EPI_ISL_8526038	2020-12-23	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526039	2020-12-23	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526040	2020-12-24	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526041	2020-12-24	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526044	2020-12-24	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526048	2020-12-24	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526051	2020-12-24	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8526052	2020-12-24	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526053	2020-12-26	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526054	2020-12-26	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526057	2020-12-26	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526059	2020-12-27	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526060	2020-12-27	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526061	2020-12-26	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8526062	2020-12-27	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526066	2020-12-27	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526067	2020-12-28	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526068	2020-12-28	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526071	2020-12-29	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526072	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20A	B.1.160	 Dakar
EPI_ISL_8526074	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526077	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526078	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526079	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526080	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526083	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526084	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526085	2020-12-30	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_8526089	2021-06-22	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526092	2021-06-23	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526093	2021-06-23	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526095	2021-06-23	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526100	2021-06-23	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526106	2021-06-24	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526107	2021-06-24	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526112	2021-06-24	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_8526122	2021-06-25	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_8526154	2021-06-27	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_8526160	2021-06-28	2022-01-10	Africa / Senegal / Dakar	21I (Delta)	B.1.617.2	 Dakar
EPI_ISL_8526168	2021-06-28	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526170	2021-06-28	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_8526175	2021-06-28	2022-01-10	Africa / Senegal / Dakar	21I (Delta)	B.1.617.2	 Dakar
EPI_ISL_8526177	2021-06-28	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526178	2021-06-28	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526206	2021-06-30	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526207	2021-06-30	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526208	2021-06-30	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526217	2021-06-30	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526220	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21I (Delta)	B.1.617.2	 Dakar
EPI_ISL_8526221	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21I (Delta)	B.1.617.2	 Dakar
EPI_ISL_8526223	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526225	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.122	 Dakar
EPI_ISL_8526227	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526228	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526229	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526231	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526238	2021-07-01	2022-01-10	Africa / Senegal / Dakar	20I (Alpha, V1)	B.1.1.7	 Dakar
EPI_ISL_8526241	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526243	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526244	2021-07-01	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526295	2021-07-03	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526296	2021-07-03	2022-01-10	Africa / Senegal / Dakar	21I (Delta)	B.1.617.2	 Dakar
EPI_ISL_8526325	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526326	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526331	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526334	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526335	2021-07-04	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_8526337	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526339	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8526340	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526342	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526344	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21I (Delta)	AY.37	 Dakar
EPI_ISL_8526347	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526348	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526349	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526352	2021-07-04	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526353	2021-07-05	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526354	2021-07-05	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
EPI_ISL_8526355	2021-07-05	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8526356	2021-07-05	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34	 Dakar
